hhid,land_total_acres,land_cultivated_acres,maize_harvest_qty_kg,maize_yield_ton_acre,orgfert_qty_2024_kg_total_std,livestock_owned_bin,hh_head_education_class,climate_info_received_num,latitude,longitude
101,1.0,1.0,360.0,0.36,1250.0,1,1,0,0.131511164,34.75509018
96,0.5,0.5,540.0,1.08,1250.0,1,0,1,-0.322041806,34.78820747
95,1.0,0.5,270.0,0.54,1250.0,0,1,0,-0.063100516,34.96231395
90,1.0,1.0,450.0,0.45,760.0,1,0,0,-0.223446317,34.86686969
86,0.25,0.25,360.0,1.44,140.0,1,2,1,-0.252861924,34.62652248
84,1.0,0.5,40.0,0.08,3600.0,1,3,1,-0.254365136,34.95639865
82,2.0,2.0,270.0,0.14,6480.0,1,1,1,0.055590841,34.88632528
80,0.5,0.5,270.0,0.54,600.0,1,4,0,-0.09294521,35.00093971
77,0.25,0.25,270.0,1.08,3200.0,0,0,0,-0.177588925,34.6230655
75,0.5,0.25,180.0,0.72,1250.0,1,3,0,-0.301353919,34.86636898
71,1.25,1.0,60.0,0.06,1250.0,1,1,1,-0.069711754,34.61941668
70,0.75,0.5,50.0,0.1,2800.0,1,0,1,0.064065842,34.87930158
56,1.0,0.5,75.0,0.15,800.0,0,1,0,-0.275601977,34.82854403
48,5.5,5.0,1530.0,0.31,1250.0,1,3,0,0.036140092,34.74108224
46,3.0,1.0,540.0,0.54,1250.0,1,3,1,0.056628871,34.62811495
44,1.0,1.0,270.0,0.27,4000.0,1,2,1,0.093142635,34.58565796
38,1.25,1.0,90.0,0.09,2800.0,1,3,0,0.013987011,34.98225066
36,3.0,1.0,540.0,0.54,4000.0,0,2,1,-0.00611703,34.85746196
30,1.5,1.0,270.0,0.27,20.0,0,1,1,-0.190888017,34.62882919
29,1.25,0.75,450.0,0.6,1800.0,0,1,1,-0.25222707,34.97685783
27,1.0,0.75,750.0,1.0,3600.0,1,1,0,-0.221028539,34.57736232
18,0.75,0.75,180.0,0.24,1225.0,1,1,1,-0.215306013,34.98999588
15,1.5,1.0,90.0,0.09,2400.0,1,1,0,-0.032199601,34.92432222
14,1.0,1.0,20.0,0.02,2200.0,1,3,0,-0.068036928,34.58580964
8,0.75,0.25,180.0,0.72,790.0,1,1,1,0.080368932,34.87556349
6,0.25,0.25,180.0,0.72,800.0,1,0,1,-0.206509275,34.7759734
5,2.0,2.0,990.0,0.5,1250.0,1,1,1,-0.307724224,34.73944322
